"PER_ID";"PER_TITEL";"PER_VOORNAMEN";"PER_TUSSENVOEGSELS";"PER_ACHTERNAAM";"SCHRIJVER";"GEBOORTEDATUM";"GEBOORTEPLAATS";"STERFDATUM";"STERFPLAATS"
"164971";"";"Joost";"";"Decorte";"Joost Decorte";"Tussen 01-01-1971 en 31-12-1971";"Antwerpen";"";""
"166749";"";"M.L.";"";"Essink-Bot";"M.L. Essink-Bot";"Tussen 01-01-1960 en 31-12-1960";"";"09-05-2016";""
"164410";"";"A.";"";"Boone";"A. Boone";"08-03-1917";"Oudenaarde";"22-07-2007";"Drongen"
"167223";"";"Frans";"";"Bromet";"Frans Bromet";"29-08-1944";"Amsterdam";"";""
"415081";"";"Louis";"";"Gauthier";"Louis Gauthier";"04-03-1981";"IJsselstein";"25-09-2019";"Amsterdam"
"170072";"";"Anna";"";"Janssen";"Anna Janssen";"07-10-1987";"";"";""
"171360";"";"Joanne";"";"Klink";"Joanne Klink";"06-03-1918";"Roermond";"17-03-2008";"Vijlen"
"376360";"";"";"";"Pai Hsien-Yung ";"Pai Hsien-Yung";"11-07-1937";"Giulin";"";""
"655691";"";"Ruurd";"";"Groot";"Ruurd Groot";"17-05-1939";"Krommenie";"";""
"171651";"";"Ariëlla";"";"Kornmehl";"Ariëlla Kornmehl";"20-08-1975";"Amsterdam";"";""
"173009";"";"Osip";"";"Mandelstam";"Osip Mandelstam";"15-01-1891";"Warschau";"27-12-1938";"Vtoraja Retsjka"
"169164";"";"L.P.";"";"Hartley";"L.P. Hartley";"30-12-1895";"Whittlesey";"13-12-1972";"Londen"
"169293";"";"Sadegh";"";"Hedayat";"Sadegh Hedayat";"17-02-1903";"Teheran";"09-04-1951";"Parijs (stad)"
"169431";"";"Youp";"van 't";"Hek";"Youp van 't Hek";"28-02-1954";"Naarden";"";""
"173472";"";"A.I.M.";"van";"Mierlo";"A.I.M. van Mierlo";"Tussen 01-01-1957 en 31-12-1957";"";"";""
"169596";"";"F.C.J.K.";"";"Hertel";"F.C.J.K. Hertel";"18-08-1938";"Amsterdam";"";""
"170960";"";"Sayed";"";"Kashua";"Sayed Kashua";"Tussen 01-01-1975 en 31-12-1975";"Tira";"";""
"178565";"";"Ginette";"";"Verstraete";"Ginette Verstraete";"Tussen 01-01-1961 en 31-12-1961";"";"";""
"178598";"";"Jan";"";"Verwer";"Jan Verwer";"Tussen 01-01-1946 en 31-12-1946";"";"16-02-2011";"Heiloo"
"240438";"";"Petra";"";"Janssen";"Petra Janssen";"06-06-1959";"";"";""
"238802";"";"Stella";"";"Martens";"Stella Martens";"19-05-1988";"";"";""
"181949";"";"Anita";"van den";"Bogaart";"Anita van den Bogaart";"25-07-1958";"Uden";"";""
"3265";"";"Sjoerd";"de";"Jong";"Sjoerd de Jong";"Tussen 01-05-1960 en 31-05-1960";"Rotterdam";"";""
"16717";"";"René";"van";"Stipriaan";"René van Stipriaan";"22-11-1959";"Heerhugowaard";"";""
"8139";"";"Rob";"van";"Erkelens";"Rob van Erkelens";"04-07-1963";"Den Haag ('s-Gravenhage)";"";""
"9735";"";"J.A.A.";"van";"Doorn";"J.A.A. van Doorn";"05-03-1925";"Maastricht";"14-05-2008";""
"176388";"";"J.A.M.";"";"Schouten";"J.A.M. Schouten";"12-09-1921";"Amsterdam";"12-09-2013";"Amsterdam"
"45261";"";"Justus";"van";"Oel";"Justus van Oel";"Tussen 01-01-1960 en 31-12-1960";"Amsterdam";"";""
"8721";"";"Jan Pieter";"van der";"Sterre";"Jan Pieter van der Sterre";"Tussen 01-01-1951 en 31-12-1951";"";"";""
"32317";"";"Martin";"de";"Haan";"Martin de Haan";"10-10-1966";"Middelburg";"";""
"38755";"";"Bertie";"van der";"Meij";"Bertie van der Meij";"Tussen 01-01-1952 en 31-12-1952";"";"";""
"2726";"";"Henk";"van";"Gelder";"Henk van Gelder";"Tussen 01-01-1946 en 31-12-1946";"";"";""
"7056";"";"Hein L.";"van";"Dolen";"Hein L. van Dolen";"Tussen 01-01-1941 en 31-12-1941";"";"";""
"1093";"";"Juliette";"de";"Wit";"Juliette de Wit";"Tussen 01-01-1958 en 31-12-1958";"Amsterdam";"";""
"177734";"";"Toots";"";"Thielemans";"Toots Thielemans";"29-04-1922";"Brussel";"22-08-2016";"Brussel"
"14484";"";"Simone";"de";"Beauvoir";"Simone de Beauvoir";"09-01-1908";"Parijs (stad)";"14-12-1986";"Parijs (stad)"
"177953";"";"P.L.";"";"Travers";"P.L. Travers";"09-08-1899";"Maryborough";"23-04-1996";"Londen"
"175541";"";"L.M.";"de";"Rijk";"L.M. de Rijk";"06-11-1924";"Hilversum";"30-06-2012";"Maastricht"
"176764";"";"Ben";"";"Slingenberg";"Ben Slingenberg";"01-05-1954";"Oosterbeek";"";""
"176837";"";"Alexandra";"";"Smith";"Alexandra Smith";"Tussen 01-01-1975 en 31-12-1975";"";"";""
"176966";"";"J.C.M.";"van";"Sonderen";"J.C.M. van Sonderen";"Tussen 01-01-1955 en 31-12-1955";"";"";""
"175798";"";"Göran";"";"Rosenberg";"Göran Rosenberg";"11-10-1948";"Södertälje";"";""
"496499";"";"Mitch";"";"Winehouse";"Mitch Winehouse";"Tussen 01-01-1951 en 31-12-1951";"Londen";"";""
"526608";"";"Adrie";"";"Kennis";"Adrie Kennis";"Tussen 01-01-1966 en 31-12-1966";"";"";""
"175021";"";"Remi";"";"Poppe";"Remi Poppe";"19-07-1938";"Velsen";"";""
"176228";"";"E.";"";"Scherder";"E. Scherder";"01-12-1951";"Amsterdam";"";""
"116897";"";"H.";"van den";"Brink";"H. van den Brink";"Tussen 01-01-1930 en 31-12-1930";"";"13-10-2012";""
"407091";"";"Marian";"";"Mudder";"Marian Mudder";"08-01-1963";"Rotterdam";"";""
"118931";"";"Jeroen";"de";"Bruyn";"Jeroen de Bruyn";"Tussen 01-01-1993 en 31-12-1993";"";"";""
"180857";"";"Roland";"";"Penrose";"Roland Penrose";"14-10-1900";"";"23-04-1984";""
"381909";"";"René";"";"Poort";"René Poort";"Tussen 01-01-1958 en 31-12-1958";"Amsterdam";"";""
"157260";"";"Lutz";"";"Seiler";"Lutz Seiler";"08-06-1963";"Gera";"";""
"158259";"";"Ko";"van";"Geemert";"Ko van Geemert";"Tussen 01-01-1950 en 31-12-1950";"";"";""
"57076";"";"H.";"ten";"Boom";"H. ten Boom";"08-10-1924";"Den Haag ('s-Gravenhage)";"11-12-2011";"Wageningen"
"108736";"";"Gustaaf";"van de";"Wall Perné";"Gustaaf van de Wall Perné";"18-05-1877";"Apeldoorn";"27-12-1911";"Amsterdam"
"95792";"";"Ron";"de";"Bruin";"Ron de Bruin";"";"";"Tussen 01-05-2014 en 31-05-2014";""
"88520";"";"Harry";"van";"Seumeren";"Harry van Seumeren";"20-08-1937";"Rotterdam";"29-12-2010";"Leiden"
"107095";"";"Dick";"van";"Ruler";"Dick van Ruler";"19-12-1934";"Littenseradeel";"01-01-1994";"Utrecht"
"107103";"";"Hein";"van";"Mulligen";"Hein van Mulligen";"Tussen 01-01-1933 en 31-12-1933";"";"";""
"95636";"";"Ronnie";"van";"Cleef";"Ronnie van Cleef";"28-06-1921";"Amersfoort";"29-01-2008";"Amsterdam"
"88094";"";"Rinus";"de";"Vringer";"Rinus de Vringer";"05-02-1928";"Den Haag ('s-Gravenhage)";"";""
"104370";"";"Piet";"van";"Seeters";"Piet van Seeters";"12-05-1939";"Raamsdonksveer";"10-06-2005";"Zeist"
"89271";"";"Alexis";"de";"Roode";"Alexis de Roode";"08-10-1970";"Hulst";"";""
"87981";"";"Simon";"van";"Collem";"Simon van Collem";"27-03-1919";"Amsterdam";"21-06-1989";"Amsterdam"
"97183";"";"S.H.";"de";"Roos";"S.H. de Roos";"14-09-1877";"Drachten";"03-04-1962";"Haarlem"
"99545";"";"Jan Jaap";"de";"Ruiter";"Jan Jaap de Ruiter";"Tussen 01-01-1959 en 31-12-1959";"Dordrecht";"";""
"87815";"";"Miguel";"de";"Unamuno";"Miguel de Unamuno";"29-09-1864";"Bilbao";"31-12-1936";"Salamanca"
"81165";"";"Jan";"van der";"Noordaa";"Jan van der Noordaa";"21-10-1934";"Leiden";"17-06-2015";"Bethesda"
"103865";"";"Bep";"van";"Houdt";"Bep van Houdt";"Tussen 01-01-1940 en 31-12-1940";"Rotterdam";"19-07-2017";"Amstelveen"
"87712";"";"Karel";"van der";"Toorn";"Karel van der Toorn";"Tussen 01-01-1956 en 31-12-1956";"";"";""
"113895";"";"Marjan";"van";"Abeelen";"Marjan van Abeelen";"06-12-1959";"";"";""
"114004";"";"Cis";"";"Meijer";"Cis Meijer";"15-12-1970";"Heemskerk";"";""
"107483";"";"Irene";"van der";"Linde";"Irene van der Linde";"01-01-1963";"";"";""
"113274";"";"Dick";"de";"Winter";"Dick de Winter";"Tussen 01-01-1944 en 31-12-1944";"";"";""
"113321";"";"Mireille";"d'";"Allancé";"Mireille d' Allancé";"12-12-1958";"Chamalières";"";""
"101525";"";"Jacqueline";"de";"Man";"Jacqueline de Man";"Tussen 01-01-1958 en 31-12-1958";"";"";""
"85257";"";"Jan";"de";"Vries*1937*";"Jan de Vries*1937*";"Tussen 01-01-1937 en 31-12-1937";"";"";""
"100320";"";"Dmitri";"van den";"Bersselaar";"Dmitri van den Bersselaar";"Tussen 01-01-1968 en 31-12-1968";"";"";""
"101608";"";"J.";"van";"Mulligen";"J. van Mulligen";"Tussen 01-01-1940 en 31-12-1940";"";"";""
"112218";"";"Jan";"van";"Mersbergen";"Jan van Mersbergen";"10-04-1971";"Gorinchem";"";""
"100063";"";"Hugo";"de";"Groot";"Hugo de Groot";"10-04-1583";"Delft";"28-08-1645";"Rostock"
"111796";"";"Boudewijn";"de";"Groot";"Boudewijn de Groot";"20-05-1944";"Batavia";"";""
"90736";"";"Alexis";"de";"Tocqueville";"Alexis de Tocqueville";"29-07-1805";"Parijs (stad)";"16-04-1859";"Cannes"
"111074";"";"Emiel";"van";"Moerkerken";"Emiel van Moerkerken";"15-08-1916";"Haarlem";"06-03-1995";"Amsterdam"
"181302";"";"G.A.";"";"Zielhuis";"G.A. Zielhuis";"Tussen 01-01-1953 en 31-12-1953";"";"";""
"110879";"";"Amoene";"van";"Haersolte";"Amoene van Haersolte";"23-02-1890";"Utrecht";"01-08-1952";"Dalfsen"
"110810";"";"P.N.";"Van";"Eyck";"P.N. Van Eyck";"01-10-1887";"";"10-04-1954";""
"110854";"";"Johann Wolfgang";"von";"Goethe";"Johann Wolfgang von Goethe";"28-08-1749";"Frankfurt am Main";"22-03-1832";"Weimar"
"100572";"";"Paula";"van";"Cuilenburg";"Paula van Cuilenburg";"Tussen 01-01-1953 en 31-12-1953";"";"";""
"98852";"";"Joop";"van den";"Bos";"Joop van den Bos";"17-01-1928";"Rotterdam";"";""
"110753";"";"Alba";"de";"Céspedes";"Alba de Céspedes";"11-03-1911";"Rome";"14-11-1997";"Parijs (stad)"
"109883";"";"Ron";"van";"Zonneveld";"Ron van Zonneveld";"13-12-1942";"";"11-12-2012";""
"108215";"";"Frits";"van der";"Waa";"Frits van der Waa";"18-02-1954";"";"";""
"98339";"";"Jacqueline";"van";"Maarsen";"Jacqueline van Maarsen";"30-01-1929";"Amsterdam";"";""
"76531";"";"W.B.";"de";"Greve";"W.B. de Greve";"05-02-1945";"Groningen";"05-08-2013";"Wassenaar"
"66473";"";"A.C.C.";"de";"Vletter";"A.C.C. de Vletter";"17-09-1866";"Scheveningen";"09-11-1935";"Den Haag ('s-Gravenhage)"
"63896";"";"Rian";"van de";"Sande";"Rian van de Sande";"Tussen 01-01-1946 en 31-12-1946";"";"";""
"46054";"";"Kurt";"";"Löb";"Kurt Löb";"11-01-1926";"Berlijn";"01-06-2015";"Amsterdam"
"69168";"";"Johan Hendrik";"van";"Dale";"Johan Hendrik van Dale";"15-02-1828";"Sluis";"19-05-1872";"Sluis"
"60942";"";"M.H.";"den";"Ouden-Hille";"M.H. den Ouden-Hille";"30-11-1922";"Semarang";"24-11-1992";""
"75897";"";"Gert";"van der";"Pijl";"Gert van der Pijl";"24-02-1948";"Amersfoort";"02-03-2015";"Goirle"
"76685";"";"Gert-Jan";"van";"Laar";"Gert-Jan van Laar";"11-09-1942";"Utrecht";"19-07-2014";"Westknollendam"
"79697";"";"Ina";"van";"Faassen";"Ina van Faassen";"19-11-1928";"Amsterdam";"23-07-2011";"Amsterdam"
"68477";"";"Adrie";"van";"Oorschot";"Adrie van Oorschot";"22-05-1920";"Vlissingen";"09-03-2004";"Vlissingen"
"63139";"";"H.C.";"van der";"Hoeven";"H.C. van der Hoeven";"04-06-1925";"Leiden";"13-02-2015";"Den Haag ('s-Gravenhage)"
"74502";"";"Wim";"van";"Binsbergen";"Wim van Binsbergen";"Tussen 01-01-1947 en 31-12-1947";"";"";""
"77159";"";"W.G.";"van de";"Hulst (sr.)";"W.G. van de Hulst (sr.)";"28-10-1879";"Utrecht";"31-08-1963";"Utrecht"
"79311";"";"Heinrich";"von";"Kleist";"Heinrich von Kleist";"18-10-1777";"Frankfurt an der Oder";"21-11-1811";"Wannsee"
"79346";"";"André";"van der";"Veeke";"André van der Veeke";"15-05-1947";"Rotterdam";"";""
"69298";"";"Peter Yvon";"de";"Vries";"Peter Yvon de Vries";"Tussen 01-01-1952 en 31-12-1952";"Groningen";"";""
"71143";"";"C.M.O.";"van";"Nispen tot Sevenaer";"C.M.O. van Nispen tot Sevenaer";"30-09-1895";"Nijmegen";"06-01-1995";"Vorden"
"86960";"";"Max";"de";"Bok";"Max de Bok";"07-08-1933";"Breda";"08-08-2016";"Den Haag ('s-Gravenhage)"
"73540";"";"Frank";"van";"Dixhoorn";"Frank van Dixhoorn";"Tussen 01-01-1959 en 31-12-1959";"";"";""
"107531";"";"W.J.";"de";"Haan";"W.J. de Haan";"15-05-1957";"";"";""
"80088";"";"Marius";"van";"Nieuwkerk";"Marius van Nieuwkerk";"14-02-1946";"’s-Gravenzande";"";""
"72103";"";"L.";"de";"Galan";"L. de Galan";"Tussen 01-01-1937 en 31-12-1937";"";"";""
"72677";"";"E.F.";"van der";"Grinten";"E.F. van der Grinten";"05-05-1920";"Venlo";"09-10-2009";"Den Haag ('s-Gravenhage)"
"61955";"";"Erik";"de";"Graaf";"Erik de Graaf";"01-07-1961";"Vlaardingen";"";""
"84409";"prof. dr.";"I.";"van der";"Zijpp";"I. van der Zijpp";"Tussen 01-01-1936 en 31-12-1936";"";"Tussen 01-09-2009 en 30-09-2009";""
"110256";"";"Domien";"ten";"Berge";"Domien ten Berge";"Tussen 01-01-1942 en 31-12-1942";"";"";""
"66330";"";"Heleen";"van";"Nulandt";"Heleen van Nulandt";"09-05-1921";"Utrecht";"";""
"63820";"";"G.";"van";"Essen";"G. van Essen";"11-09-1923";"Leiden";"30-08-2003";"Huizen"
"77204";"";"Ineke";"van den";"Bergen";"Ineke van den Bergen";"29-09-1943";"Den Haag ('s-Gravenhage)";"16-05-2014";"Amsterdam"
"87180";"";"Bert";"de";"Groot";"Bert de Groot";"03-05-1945";"Rotterdam";"22-11-2016";"Woerden"
"71851";"";"CeesJan";"van";"Golen";"CeesJan van Golen";"Tussen 01-01-1949 en 31-12-1949";"";"";""
"46276";"";"Wim";"van";"Til";"Wim van Til";"06-02-1955";"Leiden";"";""
"59880";"";"H.";"van";"Engeland";"H. van Engeland";"01-05-1943";"Winterswijk";"12-05-2016";"Utrecht"
"42230";"";"Jean-Pierre";"van de";"Ven";"Jean-Pierre van de Ven";"Tussen 01-01-1968 en 31-12-1968";"Valburg";"";""
"42293";"";"Hennie";"van de";"Louw";"Hennie van de Louw";"16-09-1947";"Tilburg";"13-02-2013";"Amsterdam"
"42266";"";"Louis";"van";"Gasteren";"Louis van Gasteren";"20-11-1922";"Amsterdam";"10-05-2016";"Amsterdam"
"58946";"";"H.J.";"van";"Aalderen";"H.J. van Aalderen";"24-07-1929";"Middelburg";"03-11-2016";""
"48654";"";"Annelies";"van";"Aller";"Annelies van Aller";"14-11-1946";"";"18-12-2015";""
"46198";"";"Elly";"de";"Vries";"Elly de Vries";"12-12-1940";"Drenthe";"";""
"69442";"";"Wim";"van";"Leeuwen";"Wim van Leeuwen";"Tussen 01-01-1953 en 31-12-1953";"Arnhem";"";""
"39715";"";"Gérard";"de";"Nerval";"Gérard de Nerval";"22-05-1808";"Parijs (stad)";"26-01-1855";"Parijs (stad)"
"39695";"";"Hanneke";"de";"Klerck";"Hanneke de Klerck";"Tussen 01-01-1964 en 31-12-1964";"";"";""
"56972";"";"A.D.";"de";"Groot";"A.D. de Groot";"26-10-1914";"Santpoort";"14-08-2006";"Schiermonnikoog"
"48962";"";"Anna";"de";"Haas";"Anna de Haas";"Tussen 01-01-1947 en 31-12-1947";"";"";""
"39595";"";"Wouter";"van";"Oorschot";"Wouter van Oorschot";"02-03-1952";"";"";""
"39490";"";"Michel";"van";"Egmond";"Michel van Egmond";"26-03-1968";"Voorburg";"";""
"39500";"";"Luuk";"van";"Middelaar";"Luuk van Middelaar";"Tussen 01-01-1973 en 31-12-1973";"";"";""
"52439";"";"A.";"van";"Dael-Schouten";"A. van Dael-Schouten";"07-02-1911";"Rotterdam";"08-09-2011";"Rotterdam"
"49015";"";"Han";"van";"Bree";"Han van Bree";"Tussen 01-01-1957 en 31-12-1957";"";"";""
"64353";"";"Noortje";"de";"Roy van Zuydewijn";"Noortje de Roy van Zuydewijn";"05-08-1941";"Amsterdam";"11-04-2010";"Rotterdam"
"56705";"";"Leopold M.";"van den";"Brande";"Leopold M. van den Brande";"02-11-1947";"Mechelen";"";""
"49029";"";"Pieter";"van der";"Drift";"Pieter van der Drift";"17-12-1965";"";"";""
"56533";"";"Meta";"van";"IJzer";"Meta van IJzer";"Tussen 01-01-1934 en 31-12-1934";"Amsterdam";"Tussen 01-01-2014 en 31-12-2014";"Den Haag ('s-Gravenhage)"
"45397";"";"Thomas H.";"von der";"Dunk";"Thomas H. von der Dunk";"02-07-1961";"Soestdijk";"";""
"49243";"";"André";"van der";"Louw";"André van der Louw";"09-08-1933";"Den Haag ('s-Gravenhage)";"20-10-2005";"Scheveningen"
"72982";"";"Leo";"van";"Heijningen";"Leo van Heijningen";"Tussen 01-01-1919 en 31-12-1919";"";"09-06-2008";""
"56408";"";"Marijke";"van der";"Wal";"Marijke van der Wal";"19-12-1949";"Rijswijk";"";""
"47685";"";"Joris";"van";"Casteren";"Joris van Casteren";"05-01-1976";"Rotterdam";"";""
"41640";"";"Annegreet";"van";"Bergen";"Annegreet van Bergen";"29-01-1954";"Enschede";"";""
"64169";"";"H.";"ten";"Harmsen van der Beek";"H. ten Harmsen van der Beek";"18-05-1930";"Blaricum";"Tussen 01-04-2003 en 30-04-2003";""
"54312";"";"Marinus";"van";"Goeree";"Marinus van Goeree";"31-03-1919";"Dubbeldam";"01-10-2004";"Zwijndrecht"
"41674";"";"Jan";"van";"Kilsdonk";"Jan van Kilsdonk";"19-03-1917";"Zeeland";"01-07-2008";"Amsterdam"
"54342";"";"A.A.";"van";"Ruler";"A.A. van Ruler";"10-12-1908";"Apeldoorn";"15-12-1970";"Utrecht"
"47335";"";"Govert";"de";"Roos";"Govert de Roos";"Tussen 01-01-1953 en 31-12-1953";"Amsterdam";"";""
"96567";"";"Oscar";"de";"Wit";"Oscar de Wit";"01-12-1935";"Bandung";"";""
"47162";"";"Philip";"van der";"Eijk";"Philip van der Eijk";"Tussen 01-01-1962 en 31-12-1962";"";"";""
"48215";"";"Jan";"van";"Amerongen";"Jan van Amerongen";"Tussen 01-01-1939 en 31-12-1939";"";"Tussen 01-01-1998 en 31-12-1998";""
"40708";"";"H.C. (Henk)";"van der";"Meulen";"H.C. (Henk) van der Meulen";"Tussen 01-01-1950 en 31-12-1950";"";"";""
"57953";"";"C.M.";"van den";"Berg-Akkerman";"C.M. van den Berg-Akkerman";"01-05-1906";"Vlaardingen";"12-12-2008";""
"57966";"";"C.";"de";"Galan";"C. de Galan";"02-05-1932";"Zaandam";"09-08-1987";"Groningen"
"78958";"";"D.";"van";"Tol";"D. van Tol";"16-05-1925";"Amsterdam";"06-04-2009";"Amsterdam"
"46930";"";"Willem";"van den";"Akker";"Willem van den Akker";"Tussen 01-01-1933 en 31-12-1933";"Leeuwarden";"";""
"49545";"";"Jan";"van";"Aken";"Jan van Aken";"09-08-1961";"Herwen en Aerdt";"";""
"97581";"";"Saskia";"de";"Jong";"Saskia de Jong";"Tussen 01-01-1973 en 31-12-1973";"";"";""
"57623";"";"Jack";"van";"Belle";"Jack van Belle";"17-12-1922";"";"24-08-2008";"Roosendaal"
"69559";"";"Pierre";"van";"Vollenhoven";"Pierre van Vollenhoven";"Tussen 01-01-1927 en 31-12-1927";"Schoten";"25-11-2008";""
"49592";"";"Joost";"de";"Vries";"Joost de Vries";"28-03-1983";"Alkmaar";"";""
"77502";"";"Maarten";"van";"Rossem";"Maarten van Rossem";"24-10-1943";"Zeist";"";""
"42184";"";"Mario";"van";"Brakel";"Mario van Brakel";"Tussen 01-01-1961 en 31-12-1961";"Tholen";"";""
"73032";"";"Anne-Marie";"de";"Both-Diez";"Anne-Marie de Both-Diez";"09-01-1922";"Chantraine";"11-09-2009";"Amersfoort"
"57556";"";"A.N.W.";"van der";"Plank";"A.N.W. van der Plank";"05-01-1947";"Delft";"14-09-2010";"Lettele"
"53434";"";"R.J.";"van";"Helsdingen";"R.J. van Helsdingen";"Tussen 01-01-1915 en 31-12-1915";"";"05-05-2013";""
"54736";"";"Peter";"van der";"Velde";"Peter van der Velde";"19-02-1936";"Amsterdam";"13-04-2016";"Amsterdam"
"46464";"";"D.";"van der";"Stoep";"D. van der Stoep";"17-09-1906";"Berkel en Rodenrijs";"28-08-1997";"Baarn"
"40173";"";"P.C.J.";"van der";"Krogt";"P.C.J. van der Krogt";"Tussen 01-01-1956 en 31-12-1956";"";"";""
"42251";"";"F.";"de";"Waard";"F. de Waard";"Tussen 01-01-1928 en 31-12-1928";"";"23-08-2015";""
"71242";"";"Paul";"de";"Vaan";"Paul de Vaan";"Tussen 01-01-1926 en 31-12-1926";"";"17-11-1988";""
"28811";"";"Pieter-Paul";"van";"Laake";"Pieter-Paul van Laake";"";"";"Tussen 01-02-2016 en 29-02-2016";""
"23891";"";"Willem";"van";"Manen";"Willem van Manen";"09-01-1934";"Amsterdam";"24-05-2008";"Amsterdam"
"34159";"";"Mirjam";"van";"Hengel";"Mirjam van Hengel";"06-09-1967";"";"";""
"34792";"";"René";"van";"Rijckevorsel";"René van Rijckevorsel";"Tussen 01-01-1961 en 31-12-1961";"";"";""
"109549";"";"Jan";"van der";"Mast";"Jan van der Mast";"Tussen 01-01-1961 en 31-12-1961";"";"";""
"34039";"";"Aad";"van den";"Heuvel";"Aad van den Heuvel";"28-06-1935";"Rotterdam";"";""
"33960";"";"E.";"den";"Tex";"E. den Tex";"03-11-1918";"Amsterdam";"03-01-2012";"Zoeterwoude"
"30833";"";"G.J.";"van";"Bork";"G.J. van Bork";"25-08-1935";"Schiedam";"";""
"21541";"";"H.W.A.";"van";"Rooijen-Dijkman";"H.W.A. van Rooijen-Dijkman";"Tussen 01-01-1938 en 31-12-1938";"";"";""
"34898";"";"M.";"de";"Vries";"M. de Vries";"06-12-1967";"";"";""
"34904";"";"Justus";"van";"Effen";"Justus van Effen";"21-02-1684";"Utrecht";"18-09-1753";"Den Bosch ('s-Hertogenbosch)"
"24186";"";"Victor";"van den";"Bersselaar";"Victor van den Bersselaar";"15-06-1948";"Groenlo";"03-11-2011";"Amsterdam"
"33740";"";"Peter";"de";"Waard";"Peter de Waard";"Tussen 01-01-1955 en 31-12-1955";"";"";""
"43794";"";"Joost";"de";"Wit";"Joost de Wit";"24-12-1938";"Pretoria";"12-11-2014";"Muntendam"
"33651";"";"Dirk";"van";"Delft";"Dirk van Delft";"12-10-1951";"Rijnsburg";"";""
"23170";"";"Louise";"van";"Santen";"Louise van Santen";"15-05-1924";"Amsterdam";"19-09-2014";"Amsterdam"
"30931";"";"Daniël";"van der";"Meer";"Daniël van der Meer";"Tussen 01-01-1986 en 31-12-1986";"";"";""
"36296";"";"Guido";"van der";"Kroef";"Guido van der Kroef";"Tussen 01-01-1960 en 31-12-1960";"Tilburg";"";""
"22583";"";"Frénk";"van der";"Linden";"Frénk van der Linden";"14-10-1957";"Hillegom";"";""
"49811";"";"Erik";"van";"Rijn van Alkemade";"Erik van Rijn van Alkemade";"Tussen 01-01-1951 en 31-12-1951";"";"";""
"35905";"";"Jeroen";"van";"Merwijk";"Jeroen van Merwijk";"11-07-1955";"Bilthoven";"";""
"29883";"";"Alex";"van";"Warmerdam";"Alex van Warmerdam";"14-08-1952";"Haarlem";"";""
"27963";"";"Arjaan";"van";"Nimwegen";"Arjaan van Nimwegen";"Tussen 01-01-1947 en 31-12-1947";"";"";""
"69785";"";"Marian";"van de";"Ruit";"Marian van de Ruit";"10-07-1922";"";"27-10-2009";""
"43385";"";"Ria";"van";"Hengel";"Ria van Hengel";"Tussen 01-01-1939 en 31-12-1939";"Zeist";"";""
"29921";"";"Arie";"van der";"Krogt";"Arie van der Krogt";"27-01-1952";"Zoeterwoude";"";""
"29923";"";"Jan";"van";"Riemsdijk";"Jan van Riemsdijk";"Tussen 01-01-1931 en 31-12-1931";"";"07-11-2011";"Lochem"
"22436";"";"Pauline";"van de";"Ven";"Pauline van de Ven";"02-11-1956";"Houthem";"";""
"42872";"";"Arie";"van der";"Ent";"Arie van der Ent";"Tussen 01-01-1956 en 31-12-1956";"";"";""
